run	scenario	target	expected	actual	rejection	passed
network-baseline-all-controls-on	BANK-BASE	bank-b	ACCEPTED	ACCEPTED	NONE	true
network-baseline-all-controls-on	CROSS-BASE	utbetalningsmyndigheten	ACCEPTED	ACCEPTED	NONE	true
network-baseline-all-controls-on	DEV-1	bank-b	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	true
network-baseline-all-controls-on	DEV-2	bank-b	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	true
network-baseline-all-controls-on	DEV-3A	bank-b	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	true
network-baseline-all-controls-on	DEV-3B	bank-b	REJECTED	REJECTED	UNDECLARED_FIELD	true
network-baseline-all-controls-on	DEV-4	utbetalningsmyndigheten	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	true
network-baseline-all-controls-on	DEV-5	bank-b	REJECTED	REJECTED	POLICY_PURPOSE_DISALLOWED	true
network-baseline-all-controls-on	DEV-6	bank-b	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	true
network-baseline-all-controls-on	DEV-7	utbetalningsmyndigheten	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	true
network-ablation-ci-off	BANK-BASE	bank-b	ACCEPTED	ACCEPTED	NONE	true
network-ablation-ci-off	CROSS-BASE	utbetalningsmyndigheten	ACCEPTED	ACCEPTED	NONE	true
network-ablation-ci-off	DEV-1	bank-b	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	true
network-ablation-ci-off	DEV-2	bank-b	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	false
network-ablation-ci-off	DEV-3A	bank-b	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	true
network-ablation-ci-off	DEV-3B	bank-b	REJECTED	REJECTED	UNDECLARED_FIELD	true
network-ablation-ci-off	DEV-4	utbetalningsmyndigheten	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	true
network-ablation-ci-off	DEV-5	bank-b	REJECTED	REJECTED	POLICY_PURPOSE_DISALLOWED	true
network-ablation-ci-off	DEV-6	bank-b	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	true
network-ablation-ci-off	DEV-7	utbetalningsmyndigheten	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	false
network-ablation-policy-off	BANK-BASE	bank-b	ACCEPTED	ACCEPTED	NONE	true
network-ablation-policy-off	CROSS-BASE	utbetalningsmyndigheten	ACCEPTED	ACCEPTED	NONE	true
network-ablation-policy-off	DEV-1	bank-b	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	true
network-ablation-policy-off	DEV-2	bank-b	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	true
network-ablation-policy-off	DEV-3A	bank-b	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	true
network-ablation-policy-off	DEV-3B	bank-b	REJECTED	REJECTED	UNDECLARED_FIELD	true
network-ablation-policy-off	DEV-4	utbetalningsmyndigheten	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	true
network-ablation-policy-off	DEV-5	bank-b	REJECTED	ACCEPTED	NONE	false
network-ablation-policy-off	DEV-6	bank-b	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	true
network-ablation-policy-off	DEV-7	utbetalningsmyndigheten	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	true
network-ablation-property-auth-off	BANK-BASE	bank-b	ACCEPTED	ACCEPTED	NONE	true
network-ablation-property-auth-off	CROSS-BASE	utbetalningsmyndigheten	ACCEPTED	ACCEPTED	NONE	true
network-ablation-property-auth-off	DEV-1	bank-b	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	true
network-ablation-property-auth-off	DEV-2	bank-b	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	true
network-ablation-property-auth-off	DEV-3A	bank-b	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	true
network-ablation-property-auth-off	DEV-3B	bank-b	REJECTED	REJECTED	UNDECLARED_FIELD	true
network-ablation-property-auth-off	DEV-4	utbetalningsmyndigheten	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	true
network-ablation-property-auth-off	DEV-5	bank-b	REJECTED	REJECTED	POLICY_PURPOSE_DISALLOWED	true
network-ablation-property-auth-off	DEV-6	bank-b	REJECTED	ACCEPTED	NONE	false
network-ablation-property-auth-off	DEV-7	utbetalningsmyndigheten	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	true
network-ablation-raw-identifier-off	BANK-BASE	bank-b	ACCEPTED	ACCEPTED	NONE	true
network-ablation-raw-identifier-off	CROSS-BASE	utbetalningsmyndigheten	ACCEPTED	ACCEPTED	NONE	true
network-ablation-raw-identifier-off	DEV-1	bank-b	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	false
network-ablation-raw-identifier-off	DEV-2	bank-b	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	true
network-ablation-raw-identifier-off	DEV-3A	bank-b	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	true
network-ablation-raw-identifier-off	DEV-3B	bank-b	REJECTED	REJECTED	UNDECLARED_FIELD	true
network-ablation-raw-identifier-off	DEV-4	utbetalningsmyndigheten	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	true
network-ablation-raw-identifier-off	DEV-5	bank-b	REJECTED	REJECTED	POLICY_PURPOSE_DISALLOWED	true
network-ablation-raw-identifier-off	DEV-6	bank-b	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	true
network-ablation-raw-identifier-off	DEV-7	utbetalningsmyndigheten	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	true
network-ablation-schema-version-off	BANK-BASE	bank-b	ACCEPTED	ACCEPTED	NONE	true
network-ablation-schema-version-off	CROSS-BASE	utbetalningsmyndigheten	ACCEPTED	ACCEPTED	NONE	true
network-ablation-schema-version-off	DEV-1	bank-b	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	true
network-ablation-schema-version-off	DEV-2	bank-b	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	true
network-ablation-schema-version-off	DEV-3A	bank-b	REJECTED	ACCEPTED	NONE	false
