scenario	target	expected_decision	actual_decision	expected_code	actual_code	passed
BANK-BASE	bank-b	ACCEPTED	ACCEPTED	NONE	NONE	true
CROSS-BASE	utbetalningsmyndigheten	ACCEPTED	ACCEPTED	NONE	NONE	true
DEV-1	bank-b	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	RAW_IDENTIFIER_LEAKAGE	true
DEV-2	bank-b	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	true
DEV-3A	bank-b	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	UNSUPPORTED_SCHEMA_VERSION	true
DEV-3B	bank-b	REJECTED	REJECTED	UNDECLARED_FIELD	UNDECLARED_FIELD	true
DEV-4	utbetalningsmyndigheten	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	RECEIVER_PROFILE_MISMATCH	true
DEV-5	bank-b	REJECTED	REJECTED	POLICY_PURPOSE_DISALLOWED	POLICY_PURPOSE_DISALLOWED	true
DEV-6	bank-b	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	PROPERTY_AUTHORISATION_FAILURE	true
DEV-7	utbetalningsmyndigheten	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	true
