ablation	scenario	baseline_decision	ablation_decision	baseline_code	ablation_code	decision_changed	code_changed
ci-off	BANK-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
ci-off	CROSS-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
ci-off	DEV-1	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	RAW_IDENTIFIER_LEAKAGE	false	false
ci-off	DEV-2	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	PROPERTY_AUTHORISATION_FAILURE	false	true
ci-off	DEV-3A	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	UNSUPPORTED_SCHEMA_VERSION	false	false
ci-off	DEV-3B	REJECTED	REJECTED	UNDECLARED_FIELD	UNDECLARED_FIELD	false	false
ci-off	DEV-4	REJECTED	REJECTED	RECEIVER_PROFILE_MISMATCH	RECEIVER_PROFILE_MISMATCH	false	false
ci-off	DEV-5	REJECTED	REJECTED	POLICY_PURPOSE_DISALLOWED	POLICY_PURPOSE_DISALLOWED	false	false
ci-off	DEV-6	REJECTED	REJECTED	PROPERTY_AUTHORISATION_FAILURE	PROPERTY_AUTHORISATION_FAILURE	false	false
ci-off	DEV-7	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	PROPERTY_AUTHORISATION_FAILURE	false	true
policy-off	BANK-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
policy-off	CROSS-BASE	ACCEPTED	ACCEPTED	NONE	NONE	false	false
policy-off	DEV-1	REJECTED	REJECTED	RAW_IDENTIFIER_LEAKAGE	RAW_IDENTIFIER_LEAKAGE	false	false
policy-off	DEV-2	REJECTED	REJECTED	CI_INFORMATION_TYPE_DISALLOWED	CI_INFORMATION_TYPE_DISALLOWED	false	false
policy-off	DEV-3A	REJECTED	REJECTED	UNSUPPORTED_SCHEMA_VERSION	UNSUPPORTED_SCHEMA_VERSION	false	false
policy-off	DEV-3B	REJECTED	REJECTED	UNDECLARED_FIELD	UNDECLARED_FIELD	false	false
