scenario	base_payload	deviation_type	target_participant	expected_decision	expected_rejection_code
BANK-BASE	BANK_BASE	NONE	bank-b	ACCEPTED	NONE
CROSS-BASE	CROSS_BASE	NONE	utbetalningsmyndigheten	ACCEPTED	NONE
DEV-1	BANK_BASE	RAW_IDENTIFIER_LEAKAGE	bank-b	REJECTED	RAW_IDENTIFIER_LEAKAGE
DEV-2	BANK_BASE	PROFILE_DISALLOWED_FIELD	bank-b	REJECTED	CI_INFORMATION_TYPE_DISALLOWED
DEV-3A	BANK_BASE	UNSUPPORTED_SCHEMA_VERSION	bank-b	REJECTED	UNSUPPORTED_SCHEMA_VERSION
DEV-3B	BANK_BASE	UNDECLARED_FIELD_ADDITION	bank-b	REJECTED	UNDECLARED_FIELD
DEV-4	BANK_BASE	RECEIVER_PROFILE_MISMATCH	utbetalningsmyndigheten	REJECTED	RECEIVER_PROFILE_MISMATCH
DEV-5	BANK_BASE	INCOMPATIBLE_POLICY_METADATA	bank-b	REJECTED	POLICY_PURPOSE_DISALLOWED
DEV-6	BANK_C_TO_BANK_B_BASE	PROPERTY_AUTHORISATION_FAILURE	bank-b	REJECTED	PROPERTY_AUTHORISATION_FAILURE
DEV-7	CROSS_BASE	CROSS_SECTOR_OVER_SHARING	utbetalningsmyndigheten	REJECTED	CI_INFORMATION_TYPE_DISALLOWED
